Prompt Cards,Set
The course of ______ never did run smooth.,Bards Dispense Profanity
The craziest place I ever had sex was ____.,Dirty Nasty Filthy
"The Cunt for Red Cock-tober, a submarine-themed porn parody, features a disturbing scene where ______ is thrust into ______.",Disgruntled Decks: Navy Edition
The curious lieutenant found ______ on the other side of the latrine gloryhole.,Disgruntled Decks: Army Edition
"The curse!

The child has been born with the mark of ______!",Crabs Adjust Humidity: Volume 7
The data collected with SurveyCTO revealed that the project is getting the greatest results from ______.,JadedAid: A Card Game to Save Humanitarians
The dating site found my perfect mate based on our shared love of ______.,The Game Without Decency
The day I vote is the day I'll be ______.,Cads Against Adulting
The day I woke uyp and realized I was too old for ______.,Not Parent Approved Expansion Pack #1
The Department of Psychology is looking for paid research volunteers. Are you 18-25 and suffering from ______.,CAH: College Pack
The deplorable state of morale in the Corps can be attributed to a combination of _______ and ______.,Disgruntled Decks: Marine Corps/Jarhead Edition
The difference between New Mexico and Colorado green chile is ______.,The Worst Card Game: Colorado Edition
The difference between winning and losing is _________.,Not Parent Approved
The Discovery Channel presents: ______ week.,PAX Prime 2014 - Panel Cards
"The doctor asked my sister to say ""Aaaaah,"" and ran screaming from the room when he saw _________.",Not Parent Approved
The doctor looked up my borther's nose and found _________.,Not Parent Approved
"The doctor told us it would be a girl, but to our horror, what came out was ______.",Cats Abiding Horribly: Episode III - The SJWs Strike Back
The drones that deliver groceries today wil carry ______ tomorrow.,Conspiracy Theory
The Easter Vigil Mass is so long because of ______.,The Catholic Card Game: Base Deck
The edible contains a potent dose of ______. Can you feel it yet?,The Worst Card Game: Colorado Edition
The elders of the Ibo tribe of Nigeria recommend ______ as a cure for impotence.,Reject Pack
The emperor's new ______.,Kids Against Maturity
The epidural actually works better if you chase it with _______.,Cads About Maternity - A game for bad mommies
The ER could not belive they had to remove ______ from ______'s rectum.,The Game Without Decency
"The Eskimos may have fifty words for ""snow"" but they don't have one for _______.",Rotten Apples: The Tasteless Adult Party Game
The eyes are windows to _______.,Bards Dispense Profanity
"The F-35 may be the most lethal fighter on the planet, but it's no match for _______.",Disgruntled Decks: Air Force Edition
The family reunion got awkward when we brought up grandma's love of ______.,The Game Without Decency
The fan room is frequently used for committing unspeakeable acts involving ______ and ______.,Disgruntled Decks: Navy Edition
The fastest route to parental PTSD.,KinderPerfect: Tween Expansion Pack
The fastest way to embarrass your kids is to tell their friends about ______.,KinderPerfect: Tween Expansion Pack
"The fault, dear Brutus, is not in our stars, but in ______.",Cards Against Humanity Saves America Pack
"The few, the proud, _________.",Charlie Foxtrot
"The Few, the Proud, ______.",Disgruntled Decks: Marine Corps/Jarhead Edition
The final event of the Best Ranger Competition involves the competitors paying homage to _______.,Disgruntled Decks: Army Edition
The final protector of law and order wil be ______.,Conspiracy Theory
"The fire alarm didn't wake me, but ______ sure did.",Clones Attack Hilarity #1
The firefighters have secret orders to let ______ burn.,Conspiracy Theory
The first date went so well...  So why did the second date end?,Carbs of the Huge Manatee - Online Dating Expansion 1
"The first five years are the hardest. After that, it’s all __________.",Cads About Matrimony
"The first five years are the hardest. After that, it’s all __________.",Cads About Matrimony Poly Pack
The first issue the couple tackles in marriage counseling will be ____________.,Cads About Matrimony
The first issue the couple tackles in marriage counseling will be ____________.,Cads About Matrimony Poly Pack
The first message we received from another planet was just a request for ______.,Evil Apples
The first porno I watched prominently featured ______.,Evil Apples
The first settlers on Mars will need to bring a whole lot of ______,Clones Attack Hilarity #1
the first thing Helen Keller learned to sign was ______,That's What She Said Game - First Expansion
"The first time I met up with someone off an App, we ____ (ed).",Dirty Nasty Filthy
"The Five Stages of Grief: denial, anger, bargaining, ______, acceptance.",CAH : Second Expansion
"The Five Stages of Grief: denial, anger, bargaining, ______, acceptance.",CAH Base Set
"The Five Stages of Grief: denial, anger, bargaining, ______, acceptance.",CAH: Red Box Expansion
"The Four Horsemen of the Apocalypse: Pestilence, War, Famine, and ______.",Rotten Apples: The Tasteless Adult Party Game
"The four shifts at Desert Bus: Dawn Guard, Alpha Flight, Night Watch and ____.",Desert Bus For Hope Pack
The Gates Foundation is launching a small grants program to eradicate ______.,JadedAid: A Card Game to Save Humanitarians
"The gifts got switched, so I accidentally gave my niece ______ for her 10th birthday.",The Game Without Decency
The government have now passed a new law which makes ________ compulsory.,Pigs Against Profanity: Volume 3
The government of South Africa has declared that access to ___ is a basic human right.,Cards Against/For South Africa
The greatest cosplay ever: ______.,Cakes Athirst Hilarity Volume 3
The greatest force for destruction of the 21st century is ______.,Conspiracy Theory
The greatest lie ever told was ______.,Cakes Athirst Hilarity Volume 2
"The Grunt Diet:
- 1 part ______;
- 2 parts ______;
- And a dash of ______.",Disgruntled Decks: Marine Corps/Jarhead Edition
The Guptas have been selling ___ to the children of Jozi.,Hilarious!
The Guptas have begun selling ___ to the children of Jozi.,Cards Against/For South Africa
The hardest part of my life was when I was dealing with ________.,Skewered And Roasted
The Hawks Special Unite interrogate suspect by repeatedly subjecting them to ___.,Hilarious!
The healing process began when I joined a support group for victims of ______.,CAH : Second Expansion
The healing process began when I joined a support group for victims of ______.,CAH Base Set
The healing process began when I joined a support group for victims of ______.,CAH: Red Box Expansion
The hills are alive with the sound of ______.,Not Parent Approved Expansion Pack #1
The hills are alive with the sound of ______.,Words Against Morality: Volume 4
The hills are alive with the sound of ______.,The Catholic Card Game: Base Deck
"The hills are alive, with the sound of ______!",Crabs Adjust Humidity: Volume 7
the horse that won the Kentucky Derby last year was called _______,That's What She Said Game - First Expansion
The hot guy I always think about has ______.,Babies vs. Parents
The hot new nightclub in town is called ______.,Cards for the Masses
The hottest new Broadway show of the year: ______: The Musical.,Cards Against Profanity
The human race is ______.,Cakes Athirst Hilarity Volume 4
The humanitarian situation in Syria reminds me of ______.,JadedAid: A Card Game to Save Humanitarians
The Humpty Dance is your chance to ______.,Cakes Athirst Hilarity Volume 4
The idea of getting married is bearable if I'm allowed to be ______.,Cads Against Adulting
The ideal way to punish those assholes who throw chemlights off the ship is to force-feed them ______.,Disgruntled Decks: Navy Edition
The incredible awesomeness of _________.,Not Parent Approved
The internet now makes ______ obsolete.,"Guards Against Insanity, Edition 2"
"The irony is that Ayn Rand's books were really about _______________, the whole time.",Carbs of the Huge Manatee: General Expansion 2
The Japanese Government has spent billions of yen researching _________.,Humanity Hates Trump: Expansion Pack 1
"The Japanese have developed a smaller, more efficient version of ______.",CAH: Blue Box Expansion
"The Japanese have developed a smaller, more efficient version of ______.",CAH: Fourth Expansion
The Juice is loose.  And by Juice I mean ______.,Clones Attack Hilarity #1
the Karma Sutra position I'd like to try is called ______,That's What She Said Game - First Expansion
The key to a successful marriage is ________.,Skewered And Roasted
The key to being the ideal Marine is ______.,Disgruntled Decks: Marine Corps/Jarhead Edition
"The kid playing Richard III accidentally yelled, ""My kingdom for a ______!""",The Game Without Decency
"The King is dead, long live ______.",Cats Abiding Horribly: Episode II - A New Low
"The last house party I went to, I walked in on (insert name) and (insert name) doing ____.",Dirty Nasty Filthy
The last mile is paved with ______.,JadedAid: A Card Game to Save Humanitarians
The last thing I remember last night is when I tried to ______.,Potheads Against Sanity
the last thing I remember the dentist telling me was _______,That's What She Said Game - First Expansion
The last thing I want to show up on my doorstep on a Friday night is ______.,Cards Against Profanity
the last thing Koko the gorilla signed to the world was ______,That's What She Said Game - Second Expansion
The last thing you will see before you die: ______.,Words Against Morality: Volume 4
"The last three items on my ""bucket list"":",Crabs Adjust Humidity: Volume 1
"The last time ""Insert Name"" was stuck in an elevator he/she survived by eating ______.",Personally Incorrect - Expansion 2 [Yellow Box]
"The last time I _______________, I was _______________ all night long.",Carbs of the Huge Manatee: Dance Expansion 1
"The last time I did a Monster Under the Bed check, I found ______.",KinderPerfect: More Expansion Pack
"The last time I got ____ed, I was 100% ____.",Dirty Nasty Filthy
"The last time I misbehaved, my Master punished me with ______.  I won't do that again.",Carbs of the Huge Manatee - Kink Expansion 1
The last time I went to Honest Ed's I walked out with ______,Cards About Toronto
The latest 20/20 episode: The War on ______.,"Crows Adopt Vulgarity, Vol. 1"
"The latest fraternity scandal: a party where the theme was ""______.""",Dick
The latest miracle is a statue whose eyes bleed when in the presence of _______________.,Carbs of the Huge Manatee: General Expansion 3
The latest Suzelle DIY video is about making ___ with only wire and ___.,Hilarious!
"The latest Westboro Baptist Church sign:

GOD HATES ______.",Bards Dispense Profanity
"The latest Westboro Baptist Church sign:

GOD HATES ______.",Dick
The little ______ that could.,Kids Against Maturity
"The little known 11th commandment is ""thou shalt not ______"".",WTF Did You Say?!?
The little-known eighth deadly sin: ______.,Cards Against Profanity
The local butcher sells delicious meat made from ______.,Cakes Athirst Hilarity Volume 4
"The Lord said, ""Let there be ______.""",Cards Against Profanity
"The low point of the wedding was when the bride's uncle gave a long, incoherent toast about ______.",Dick
The magazine cover featured ______ as well as ______.,The Game Without Decency
The main life lesson I learned in school was ____,Pigs Against Profanity: Volume 1
The main reason for my social anxiety is ______.,Cads Against Adulting
The Marine Corps ensurs ______ is hand delivered to needy children around the world.,Disgruntled Decks: Marine Corps/Jarhead Edition
"The Mayan calendar predicts ______, starting about 20 minutes ago.",Conspiracy Theory
The Mayor was really smoking ______ in that video,Cards About Toronto
"The Medal of Honor is normally given out for exceptional bravery. However, my great-grandfather Earl got it because he was ______ in WWII.",Cats Abiding Horribly: Episode II - A New Low
The meek shall inherit the ______.,Dick
The Mile High Club? Amateur. I joined the ______ club last year.,The Worst Card Game: Colorado Edition
The military is set apart from other professions because Soldiers must be prepared to use _______.,Disgruntled Decks: Army Edition
The military is stepping up its efforts on operation _____.,Clones Attack Hilarity #2
The monkeys at the zoo always throw ______ at me when I walk by.,Kids Create Absurdity
The moon is made of ______.,Kids Against Maturity
The more ____ the Merrier!,Dirty Nasty Filthy
"The more people I meet, the more _______________ sounds like a really good idea.",Carbs of the Huge Manatee: General Expansion 2
The most awkward moment of my life featured ________ and ________.,Skewered And Roasted
The most common search on POLITICO?, 2016 Election Game 
The most controversial game at PAX this year is an 8-bit indie platformer about ______.,PAX Prime 2013
The most controversial Super Bowl ad last year featured ______ and ______.,The Game Without Decency
The most effective way of killing the cast of Love Island is __________ .,Pigs Against Profanity: Volume 3
The most famous person I know is able to ______ while juggling radishes.,Potheads Against Sanity
The most gut-wrenching thing known to man is ______.,Cakes Athirst Hilarity Volume 2
The most important person in the room on the day I give birth is _______.,Babies vs. Parents
The most important responsibility of my last position was ________.,Skewered And Roasted
The most magical moment of motherhood is ______.,Cads About Maternity - A game for bad mommies
"The most popular Google search in rural Zambia is ""______.""",JadedAid: A Card Game to Save Humanitarians
The most popular Instagram post of the month was ______ covered in ______.,The Game Without Decency
The most sought-after endorsement?, 2016 Election Game 
The most treasured possession from my many adventures are the mummified remains of ______.,Cats Abiding Horribly: Episode III - The SJWs Strike Back
The most underrated sacrilege of all is ______.,The Catholic Card Game: Five Deck Expansion Pack
The most used app on my cell phone is for ______,Cards About Toronto
the motto on our family crest translates to _______,That's What She Said Game - First Expansion
the name of Britney Spears's next Las Vegas show is ______,That's What She Said Game - First Expansion
"The name of my sex tape is ""______.""","Crows Adopt Vulgarity, Vol. 3"
"The name of the winner for Best Picture? ""______"".",Rotten Apples: The Tasteless Adult Party Game
The Natural History Museum has just opened an interactive exhibit on ____________.,CAH: UK Conversion Kit
The Natural History Museum has just opened an interactive exhibit on ________.,CAH Base Set
"The neighborhood kid didn't use snow for their snowman, they used ______.",The Game Without Decency
The new Amphibious Assault Vehicle is really just a pontoon boat filled with ______.,Disgruntled Decks: Marine Corps/Jarhead Edition
The new Chevy Tahoe. With the power and space to take ______ everywhere you go.,CAH Base Set
The New Evangelizatiopn's greatest tool is ______.,The Catholic Card Game: Base Deck
The new Ford Windstar. Built for stability with plenty of cargo space for ______.,Cakes Athirst Hilarity Volume 3
The new iPhone is called iPhone ______.,Kids Create Absurdity
The new national holiday is called ______ Day.,Kids Create Absurdity
"The new petting zoo inside the Pentagon features pony rides, baby goat feeding, and _______.",Disgruntled Decks: Army Edition
The new Quentin Tarantino movie takes an unusual look at ______.,Rotten Apples: The Tasteless Adult Party Game
the new tagline for Viagra ____,That's What She Said Game
The New World Order is really just ______ on steroids.,Conspiracy Theory
"The newest Army Regulation extensively covers _______, for the new Chief of Staff.",Disgruntled Decks: Army Edition
The newest bar in the Junction features ______ on the menu,Cards About Toronto
The newest Catholic podcast talks entirely about ______.,The Catholic Card Game: Base Deck
"The newest Coast Guard Regulation extensively covers ______, a major focal point for the new Commandant.",Disgruntled Decks: Coast Guard/Coastie Edition
The newest hit hymn to hit the Church is called ______.,The Catholic Card Game: Base Deck
The newest intramural sport involves ______.,Carps & Angsty Manatee - Volume 2
The newest iPhone now includes an app for ______.,Carps & Angsty Manatee - Volume 2
The newest reality TV star amazed everyone by making a sculpture of ______ out of ______.,The Game Without Decency
"The newest religious charity, Christ's Huge Package, sends ______-themed care packages to troops overseas.",Disgruntled Decks: Marine Corps/Jarhead Edition
The newest revision of 14 USC 89(a) now allows ______ to more effectively compel compliance.,Disgruntled Decks: Coast Guard/Coastie Edition
The newest scientific discipline is the study of ______.,The Game Without Decency
The next best superhero will have _________ as a special power.,Not Parent Approved
The next big scandal will be ______ gate.,Conspiracy Theory
The next Council will be in response to ______.,The Catholic Card Game: Base Deck
The next executive order will outlaw ______.,Conspiracy Theory - Kickstarter Bonus Cards Pack
The next popular TV show will feature _________.,Not Parent Approved
The next shrine will be built for ______.,The Catholic Card Game: Base Deck
The next summer Olympics will feature the new event: _____.,Clones Attack Hilarity #2
The next Super Bowl will have a surprise performance by ______.,Clones Attack Hilarity #1
"The next time I see that Bitch from work, I'm gonna ____ her.",Dirty Nasty Filthy
The next travel ban will be aimed at ______.,Conspiracy Theory
The NHS has revealed that ______ is the most likely cause of death in the UK.,Pigs Against Profanity: Volume 3
"The night before a blizzard, always stock up on ______ and ______.",Crabs Adjust Humidity: Volume 3
The Nobel Peace Prize goes to ____ for ____,Pigs Against Profanity: Volume 1
The NSA wants to talk to me about an email I sent containing these key phrases:,Crabs Adjust Humidity: Volume 2
The Nuggets never should have traded Chauncey Billups for ______.,The Worst Card Game: Colorado Edition
The old argument of “Hollywood” vs. “Savoy” is mirrored in the real world by “_______________” vs. “_______________.”,Carbs of the Huge Manatee: Dance Expansion 1
The Olympic Committee are considering _______ as a new sport for the next Olympic games.,Pigs Against Profanity: Volume 3
The one thing Harvey Weinstein enjoys more than rape is ____,Pigs Against Profanity: Volume 1
The ones who hate war the most are the ones who _________.,Charlie Foxtrot
The only evidence at the crime scene was ______ and a bunch of semen.,Carps & Angsty Manatee - Volume 2
The only mind-altering substance I use is ______.,Carbs of the Huge Manatee: General Expansion 1
The only reason a few Coasties graduated BUD/S is because they bribed the cadre with ______.,Disgruntled Decks: Coast Guard/Coastie Edition
The only reason I would ever re-enlist is if the SECNAV granted me unlimited access to ______.,Disgruntled Decks: Navy Edition
The only redeeming quality of TRACEN Petaluma is ______.,Disgruntled Decks: Coast Guard/Coastie Edition
The only thing better than a peanut butter and jelly sandwich is a ______ and ______ sandwich.,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep
"The only thing dumber than removing ""man"" from all Navy job titles is ______.",Disgruntled Decks: Navy Edition
The only thing Harambe was truly guilty of was ______.,The Worst Card Game: 2016 National Edition
The only thing I can do in the bedroom is ______.,Kiwis Versus Morality
the only thing I can say well in a British accent is ______,That's What She Said Game - First Expansion
The only thing John Campbell truly finds MARVELLOUS is in fact ______.,Kiwis Versus Morality
The only thing more rewarding than ______ is ______.,JadedAid: Peace Corps Expansion Pack
The only thing my father got in the divorce was ______.,WTF Did You Say?!?
The only thing recruiters love more than groping high school girls is lying about ______.,Disgruntled Decks: Army Edition
The only thing sadder than having BAH taken away is ______.,Disgruntled Decks: Navy Edition
The only thing standing between you and your next promotion is _______.,Disgruntled Decks: Army Edition
The only thing standing between you and your next promotion is ______.,Disgruntled Decks: Air Force Edition
The only thing that can match the intensity of a submarine race is _______.,Disgruntled Decks: Navy Edition
The only thing that gets me through my morning commute is ______.,Cads Against Adulting
The only thing that makes me feel validated as a human being is _______.,Rotten Apples: The Tasteless Adult Party Game
"The only thing that makes me think this sick, sad world can get any better is ______.",Rotten Apples: The Tasteless Adult Party Game
The only thing to fear is ______,Cards About Toronto
The only thing we have to fear is ______.,Cats Abiding Horribly: Episode II - A New Low
The only thing worse than _____ is having _______,Pigs Against Profanity: Volume 2
The only thing worse than ______ is ______.,Cakes Athirst Hilarity Volume 2
The only thing worse than ______ is ______.,Cats Abiding Horribly: Episode I - The Dirty Goblin
The only thing worse than __________ at a wedding is ____________.,Cads About Matrimony
The only thing worse than __________ at a wedding is ____________.,Cads About Matrimony Poly Pack
The only thing worse than mindlessly reading MCDP-1 Warfighting is ______.,Disgruntled Decks: Marine Corps/Jarhead Edition
The only thing worse then ______ is ______.,Cats Abiding Horribly: Episode I - The Dirty Goblin
The only way is ____. The brutal new reality show coming to ITV3,Pigs Against Profanity: Volume 1
The Operations Executive got suspended for displaying ___.,Hilarious!
"The overturning of UCMJ Article 125, Forcible Sodomy and Bestiality, means I'm now free to fuck ______!",Disgruntled Decks: Navy Edition
the parent-teacher conference ended when my ex-wife said ______,That's What She Said Game - First Expansion
The pen is mightier than _______.,Bards Dispense Profanity
The Pentagon? That's a very low-energy building. Our fabulous new Department of Ass-Kicking is going to have ______.,Trumped UpCards: The World's Biggest Deck*
"The phrase ""Balls Deep in Freedom!"" should be hollered whenever ______ is combined with ______.",Disgruntled Decks: Navy Edition
"The phrase ""Unfuck Yourself!"" reminds me of ______.",Disgruntled Decks: Navy Edition
The police arrested ______ for illegal use of ______.,The Game Without Decency
The pope is writing about ______ right now.,The Catholic Card Game: Base Deck
The power of ______ compels you!,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep
"The President is currently under fire from the opposing party for his ""extremist stance"" on ______.","Crows Adopt Vulgarity, Vol. 2"
The President just declared ______ as a national treasure.,Kids Against Maturity
The Presidental line of succession under Trump: Gary Busey. Omarosa. ______.,Trumped UpCards: The World's Biggest Deck*
The presidential election came down to a choice of either ______ or ______.,Crabs Adjust Humidity: Volume 6
The Presidential reality show would feature _________.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too"
The primary has been 0 days without (a) _________.,Humanity Hates Trump: Base Set
The problem with society today is _____ and their goddamn _____.,"Guards Against Insanity, Edition 1"
The producers of ______ bring you a heartwarming story about ______.,WTF Did You Say?!?
The proposal featured __________.,Cads About Matrimony
The proposal featured __________.,Cads About Matrimony Poly Pack
The prostitute lied to me. She said that ______ was legal in Amsterdam.,"Guards Against Insanity, Edition 4"
The Pulitzer prize for ______ goes to ______.,Cakes Athirst Hilarity Volume 1
The quality of service you may receive will depend directly on your _____ and my mood.,Cards for the Masses
The real hobby of El Chapo is _______.,Bad Hombres Against Fake News Pack 1
The real reason for the Orthodox schism.,The Catholic Card Game: Base Deck
The real reason that Bad Hombres should be kicked out of the U.S. is ________.,Bad Hombres Against Fake News Pack 1
The real reason they don’t want to go to school today.,KinderPerfect: Tween Expansion Pack
The reason for my non-existent sex life is ______.,Cakes Athirst Hilarity Volume 2
The reason the ozone layer is decaying is because of ______.,Cakes Athirst Hilarity Volume 1
"The recruiter promised me an exciting career traveling the world, but it was more like an endless nightmare of ______.",Disgruntled Decks: Air Force Edition
The Red Cross is currently providing ______ to poverty stricken areas of Africa,Cakes Athirst Hilarity Volume 3
"The restaurant was nice, but I was surprised to see ______ on the menu.",Crabs Adjust Humidity: Volume 4
"The road to ____ is riddled with broken hearts, shattered dreams, and a whole lot of _____.",Cards With No Sexuality
The road to adulting is paved with _______.,Cads Against Adulting
The road to hell is paved with ______.,Crabs Adjust Humidity: Volume 4
The road to hell is paved with ______.,"Crows Adopt Vulgarity, Vol. 3"
The road to success is paved with ______.,Cards for the Masses
The road to success is paved with ______.,Words Against Morality: Volume 4
The root of all evil? ______.,Rotten Apples: The Tasteless Adult Party Game
The Royal Oak School for boys will be the first in the UK to introduce ___________.,Pigs Against Profanity: Volume 3
The Royal Ontario Museum has just opened an interactive exhibit on ______.,CAH: Canadian Conversion Kit
The savvy New Yorker's guide to ______.,Cards for the Masses
The school counselor wants to talk to us about _______.,KinderPerfect: Tween Expansion Pack
The school excursion was completely ruined by ______.,CAH Base Set
The school field trip was completely ruined by ______.,CAH Base Set
The school field trip was ruined by ______.,KinderPerfect (Commercial Set)
The school trip was completely ruined by ______.,CAH Base Set
The Scorpions interrogate suspects by repeatedly subjecting them to ___.,Cards Against/For South Africa
The SECNAV's plan to ban ______ aboard ships should further accelerate the pussification of the Navy.,Disgruntled Decks: Navy Edition
The secret 11th Commandment is ______.,"Crows Adopt Vulgarity, Vol. 3"
The secret agenda of the ______ is ______.,Conspiracy Theory
The secret ingredient in ______'s award-winning chili is adding ______.,The Game Without Decency
The secret ingredient in my casserole surprise is ______.,WTF Did You Say?!?
The secret password is: ______.,Kids Create Absurdity
The secret to a healthy sex life is ____ (ing).,Dirty Nasty Filthy
"The secret to a lasting marriage is communication, communication, and ______.",CAH Base Set
"The secret to a lasting marriage is communication, communication, and ______.",CAH: First Expansion
"The secret to a lasting marriage is communication, communication, and ______.",CAH: Red Box Expansion
The secret to getting your adopted African street dog back into the United States is ______.,JadedAid: Peace Corps Expansion Pack
The secret to great sex is always ____.,Dirty Nasty Filthy
The secret to my success at work is ________.,Skewered And Roasted
"The secret to my success with women? Well for starters, I'm hung like ______.",Cats Abiding Horribly: Episode III - The SJWs Strike Back
The self help book I just bought is going to help me deal with ________.,Skewered And Roasted
The sequel is here! Get Ready for ______2: ______.,Absurd Box Expansion
the sequel to the Vagina Monologues is called ______,That's What She Said Game - Second Expansion
The sergeant major must be a wizard because he can instantly transform into ______ and _______.,Disgruntled Decks: Army Edition
The Sergeant Major of the Marine Corps caught me _________ in my barracks room.,Charlie Foxtrot
The Seven Dwarfs' awkward cousin: ______.,Cards Against Profanity
The severe discomfort in my back passage was caused by ________,Pigs Against Profanity: Volume 2
The shame that only comes from _____.,Clones Attack Hilarity #2
The shit-hot sequel to Fighter Pilot: Operation Red Flag is a boner-tastic freedom flick chock-full of ______!,Disgruntled Decks: Air Force Edition
The sight of ______ always makes me cry like a small child.,Cards Against Profanity
The sign of true adult maturity:,Bards Dispense Profanity
"The six things I could never do without: oxygen, Facebook, chocolate, Netflix, friends, and ______ LOL!",CAH: Blue Box Expansion
"The six things I could never do without: oxygen, facebook, chocolate, netflix, friends, and ______ LOL!",CAH: Sixth Expansion
the slogan for my new plumbing company is ______,That's What She Said Game - First Expansion
The smell of ____ is nothing compared to ____,Pigs Against Profanity: Volume 1
The smell of _______ reminds me of Christmas.,WTF Did You Say?!?
The Smithsonian Museum of Natural History has just opened an interactive exhibit on ______.,CAH Base Set
The SNCO seducing young Airmen is exhibiting a ______ leadership style.,Disgruntled Decks: Air Force Edition
The snozberries taste like ______.,Cards and Punishment Vol. One
The snozzberries taste like ______.,Cards and Punishment Vol. One
The socialist governments of Scandinavia have declared that access to ______ is a basic human right.,CAH: First Expansion
The solution to our economic troubles?, 2016 Election Game 
"The Somali pirates let ""Insert Name"" go free after they found his/her valuable stash of ______.",Personally Incorrect - Expansion 2 [Yellow Box]
The South African Government has declared that access to ___ is a basic human right.,Hilarious!
The South African Rugby Union has banned ___ becuase it resulted in giving players an unfair advantage.,Hilarious!
The South African Rugby Union has banned ___ for giving players an unfair advantage.,Cards Against/For South Africa
The special ingredient of figgy pudding is _________.,Humanity Hates The Holidays
The Spirit is leading me to tell you about ______.,The Catholic Card Game: Life Teen Expansion Pack
"The spirit of Chesty Puller is rumored to haunt the grounds of Paris Island, channeling his ghostly energy into ______.",Disgruntled Decks: Marine Corps/Jarhead Edition
The stained glass window in the back of church is about ______.,The Catholic Card Game: Base Deck
"The story of ""Insert Name"" lost his/her virginity involves that back seat of a car, a security guard, a flashlight, and ______.",Personally Incorrect - Expansion 2 [Yellow Box]
The story of my life is ______.,Kids Create Absurdity
The strangest sex I ever had involved (a/an) ____.,Dirty Nasty Filthy
The students at the University of the Western Cape have developed a more economic ___.,Hilarious!
The sweet sensation of ______.,Not Parent Approved Expansion Pack #1
The teacher bent over and saw _________.,Not Parent Approved
the team was confused when the Quarterback tried to motivate his players by chanting ______,That's What She Said Game
The terrorists won when we had to give up ______.,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep
The Texas Board of Education recently declared that ______ caused the loss at the Battle of the Alamo.,Carps & Angsty Manatee - Texas Edition
The TFL apologizes for the delay in train service due to ________. ,CAH Base Set
"The theme for next year's Eurovision Song Contest is ""We are ________.""",CAH Base Set
The theme for next year’s Eurovision Song Contest is “We are _____________.”,CAH: UK Conversion Kit
The theme for our senior prom will be ______.,Cards for the Masses
The thing I miss the most about life before children is ______.,Fun in the Oven
The thing the baby shower is missing is ______.,Fun in the Oven
"The three main causes of Male suicide are, anxiety, depression and _______",Pigs Against Profanity: Volume 2
"The title of my obituary will read ""______.""",WTF Did You Say?!?
"The title of my Peace Corps memoir will be ""______.""",JadedAid: Peace Corps Expansion Pack
the title to Taylor Swift's new hit breakup song ______,That's What She Said Game
the titled of my rejected TED talk was _______,That's What She Said Game - First Expansion
The toilet is clogged with ______.,Kids Against Maturity
The tooth fairy left a ______ under my pillow.,Kids Against Maturity
"The top Google auto-complete results for “Barack Obama”:
Barack Obama Height.
Barack Obama net worth.
Barack Obama ______.",CAH: Green Box Expansion
The top-selling item on Etsy is ______ made to look like ______.,The Game Without Decency
The topic of the next Paypal Encyclical.,The Catholic Card Game: Base Deck
The true art of seduction lies in using _____ and _____ in a way that ensures _____.,"Guards Against Insanity, Edition 1"
The true meaning of love is _______.,"Humanity Hates the Holidays ""Love"" Edition"
The true secret to happiness is ______.,"Guards Against Insanity, Edition 2"
"The Trump Gitmo revamp? Fantastic waterboarding grotto, beautiful cultural humiliation lounge, and ______.",Trumped UpCards: The World's Biggest Deck*
The two most awkward topics of conversation during our date at the church picnic?  ______ and ______.,Carbs of the Huge Manatee - Online Dating Expansion 1
The two secrets to stress-free parenting are ______ and ______.,KinderPerfect (Commercial Set)
The two things that happen at every family reunion.,KinderPerfect (Commercial Set)
The two worst things about Down syndrome are ______ and their hair cut.,"Guards Against Insanity, Edition 4"
The U.S. Army provides ______ to impoverished people all over the world.,Disgruntled Decks: Army Edition
The U.S. has begun airdropping ______ to the children of Afghanistan.,CAH Base Set
"The U.S. Navy's new custom fragrance, Eau de Farragut, smells like a mixture of ______ and ______.",Disgruntled Decks: Navy Edition
The unforgettable memory of ______.,Not Parent Approved Expansion Pack #2
The United Nation's new humanitarian mission will deploy _____ to third world countries.,Clones Attack Hilarity #2
The upcoming 4-day affords you the opportunity to do what you're passionate about: ______.,Disgruntled Decks: Army Edition
The US Citizens were shocked to discover that _________ was under Trump's hair all along.,Humanity Hates Trump: Base Set
"The US civil war wasn't about slavery, it was about ______!",Cakes Athirst Hilarity Volume 3
"The USS Hillary Clinton, a Zumwalt-class guided-missile destroyer, is the only ship powered solely by ______.",Disgruntled Decks: Navy Edition
The venial sin of ______ is a gatewa to the mortal sin of ______.,The Catholic Card Game: Five Deck Expansion Pack
The very definition of dread: ______.,Cards Against Profanity
The votes are in the UK`s most popular flavour of crisps is... ________.,Pigs Against Profanity: Volume 3
"The votes are in, and the new high school mascot is ______.",CAH : Second Expansion
"The Warehouse, where everyone gets ______.",Kiwis Versus Morality
The Warrant Officer Mafia holds secret meetings where they discuss the intricacies of _______.,Disgruntled Decks: Army Edition
"the weatherman pointed to Intercourse, Pennsylvania on the map and said ______",That's What She Said Game - Second Expansion
The wedding cake was shaped like ____________.,Cads About Matrimony
The wedding cake was shaped like ____________.,Cads About Matrimony Poly Pack
The wedding was perfect... until ________ ruined everything.,Cads About Matrimony Poly Pack
