Response Cards,Set
Stifling a giggle at the mention of Hutus and Tutsis.,CAH Base Set
Stilettos,Rotten Apples: The Tasteless Adult Party Game
Stilettos,Dirty Nasty Filthy
Still being a virgin.,CAH Base Set
Still caring about the G-20,Cards About Toronto
"Still saying ""and also with you.""",The Catholic Card Game: Base Deck
Still throwing yourself baby showers when the kid starts kindergarten,Cads About Maternity - A game for bad mommies
Stimulate,Dirty Nasty Filthy
Stimulating her economy.,"Crows Adopt Vulgarity, Vol. 1"
Stinging urination.,Cards and Punishment Vol. One
Stinky armpits,Kids Create Absurdity
Stinky cunts.,Cakes Athirst Hilarity Volume 3
Stinky farts,KinderPerfect (Commercial Set)
Stinky flowers,Kids Create Absurdity
Stinky toe cheese.,Not Parent Approved
Stockholm Syndrome,CAH: Red Box Expansion
Stockholm Syndrome.,CAH Base Set
Stockholm Syndrome.,CAH: First Expansion
Stockings filled with Vaseline®.,Humanity Hates The Holidays
Stolen valor around the holiday season.,Charlie Foxtrot
Stolen valor.,Disgruntled Decks: Army Edition
Stolen valor.,Disgruntled Decks: Marine Corps/Jarhead Edition
Stolen valor.,Disgruntled Decks: Navy Edition
Stomping out a crotch fire.,Charlie Foxtrot
Stop & Frisk Role-Playing.,"Humanity Hates the Holidays ""Love"" Edition"
Stop licking your sister!,KinderPerfect (Commercial Set)
Stop licking your sister!,KinderPerfect: A Timeout For Parents (Kickstarter Set)
Stop playing with your penis!,KinderPerfect (Commercial Set)
Stop talking.,Cows Grilling Hamburgers - Patty Pack #1
Stop! Name that lolita dress.,PAX Prime 2014 Custom Printed Cards
Stopping an actual gravy train,Cards About Toronto
Stories from the time you watched a Kakapo mate with your friends head,Kiwis Against Morality
Storing a bunch of acorns in my pussy.,CAH: Blue Box Expansion
Storm trooper centerpieces.,Cads About Matrimony
Storm trooper centerpieces.,Cads About Matrimony Poly Pack
Stormtroopers.,CAH Base Set
Stormtroopers.,"PAX 2010 ""Oops"" Kit"
"Strafing an Afghan shepherd and his sad, sickly goats.",Disgruntled Decks: Air Force Edition
straight As,Skewered And Roasted
Straight blazin’ 24/7.,CAH: Green Box Expansion
Straight pride parades,Cards About Toronto
Straight up fucking loving authority.,Fascism Pack
Straight up kicking a stranger in the face.,Clones Attack Hilarity #2
Straight up yarns.,Kiwis Against Morality
Strained carrots.,Fun in the Oven
Stranger danger,Kids Against Maturity
Stranger danger,KinderPerfect (Commercial Set)
Stranger danger,KinderPerfect: A Timeout For Parents (Kickstarter Set)
Stranger danger.,"Bad Campaign, The Presidential Party Game!"
Stranger danger.,CAH Base Set
Stranger danger.,Cards Against/For South Africa
Stranger Danger.,Hilarious!
strangers with candy,Evil Apples
Strangling a dog to make a point to the audience.,House of Cards Pack
Strangling a hooker with a PT belt.,Charlie Foxtrot
"strap in, it's about to get bumpy!",That's What She Said Game
Strap on cocks,Depravity
Strapping a stuffed pig dick to the seat of Nidal Hasan's wheelchair.,Disgruntled Decks: Army Edition
Strapping on a Dildo,Dirty Nasty Filthy
Strategic bankruptcies.,Humanity Hates Trump: Expansion Pack 1
Stray Cats,Personally Incorrect
"Stray dogs running wild through base housing, barking at minorities and shitting everywhere!",Disgruntled Decks: Air Force Edition
Streaking down Elmwood.,Blurbs Against Buffalo
"Streaking the Army-Navy game while wearing ""Free Chelsea Manning"" body paint.",Disgruntled Decks: Army Edition
Streaking.,Cats Abiding Horribly: Episode III - The SJWs Strike Back
Strechy pants.,"Bad Campaign, The Presidential Party Game!"
Street meat,Cards About Toronto
Streetcar short turns,Cards About Toronto
Stretch,Dirty Nasty Filthy
stretch marks,Skewered And Roasted
Stretch marks.,Babies vs. Parents
Stretch marks.,Fun in the Oven
Striking for the newest rate: Navy Person.,Disgruntled Decks: Navy Edition
Striking rate to get off the boat.,Disgruntled Decks: Coast Guard/Coastie Edition
Stringing piano wire across a street right before the Denver Cruisers turn the corner.,The Worst Card Game: Colorado Edition
Strip Twister.,Carbs of the Huge Manatee: General Expansion 3
Stripper's Clothes.,"Humanity Hates the Holidays ""Love"" Edition"
Strippers,Personally Incorrect
Strippers,Depravity
Strippers who work the day shift,Cards About Toronto
Strippers.,"Bad Campaign, The Presidential Party Game!"
"Stripping to ""Let it Go""",KinderPerfect (Commercial Set)
"Stripping to ""Let It Go""",KinderPerfect: A Timeout For Parents (Kickstarter Set)
strips of blubber for infants,Dick
Striptease,Dirty Nasty Filthy
Striving for holiness.,The Catholic Card Game: Base Deck
Striving to convert the Protestant evangelists at the door.,The Catholic Card Game: Base Deck
Stroking the camel.,"Bad Campaign, The Presidential Party Game!"
Strong and decisive loan defaults.,Trumped UpCards: The World's Biggest Deck*
Strong female characters.,CAH Base Set
Strong misleadership skills.,Trumped UpCards: The World's Biggest Deck*
Strongmansplaining.,Trumped UpCards: The World's Biggest Deck*
Struggle snuggles.,Crabs Adjust Humidity: Volume 1
Struggling to help family members come to terms with their poor election decisions,Cards Against Profanity
Struggling to produce a semen sample,Depravity
Struggling to swallow a live bat.,Reject Pack 3
"Struggling with the fact that without child labor, there'd be no cocoa",JadedAid: A Card Game to Save Humanitarians
Strumming one out.,Words Against Morality: Volume 3
Strutting like you own the place,Cards Against Profanity
Stubbing your toe in the middle of the night,Kids Create Absurdity
Stubble rash,Depravity
Stubby-toed dwarves.,Humanity Hates Trump: Base Set
Student loans.,Cads Against Adulting
Studying for 1000 years.,Not Parent Approved Expansion Pack #1
Stuff and things,Cards for the Masses
stuff for a good joke,Dick
Stuffed animals,Kids Create Absurdity
Stuffed ballot boxes.,Humanity Hates Trump: Base Set
Stuffin' the muffin like a boss.,"Guards Against Insanity, Edition 4"
Stuffing a child's face with Fun Dip® until he starts having fun.,CAH: Blue Box Expansion
Stuffing a child's face with Fun Dip® until he starts having fun.,CAH: Fourth Expansion
Stuffing my balls into a Sega Genesis and pressing the power button.,Geek Pack
Stuffing my balls into a Sega Genesis and pressing the power button.,PAX East 2014
Stuffing the ballot box with pepperoni.,"Bad Campaign, The Presidential Party Game!"
Stunt doubles.,CAH Base Set
Stupefied,Dirty Nasty Filthy
Stupid Cosmo Sex Tips.,Carbs of the Huge Manatee: General Expansion 1
Stupid Flanders.,Words Against Morality: Volume 1
Stupid French accents and the people attached to them.,Humanity Hates Trump: Base Set
stupid fucking rednecks,Evil Apples
Stupid.,CAH: Blue Box Expansion
Stupid.,CAH: Fifth Expansion
Sub drop.*,Carbs of the Huge Manatee - Kink Expansion 1
Sub guys wearing short shorts and nipple clamps.,Disgruntled Decks: Navy Edition
Sub-Saharan cannibals.,Cats Abiding Horribly: Episode I - The Dirty Goblin
Subduing a grizzly bear and making her your wife.,CAH : Second Expansion
Subduing a grizzly bear and making her your wife.,CAH: Red Box Expansion
Subduing an officer using only the gentle touch of feminine hands.,Disgruntled Decks: Air Force Edition
Subliminal messages,Conspiracy Theory
Submissively ignoring the genital wart as you're giving head,Depravity
Subprime real-estate instruction.,Trumped UpCards: The World's Biggest Deck*
Subsisting on tiny pizzas.,Retail Product Pack
"substantial, symmetrically globular, and indestructable dumplings",Dick
Substitute teachers.,CAH Base Set
Substituting sweet potato fries for $2.,Absurd Box Expansion
Subtle dehumanization.,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep
Suburban heroin addicts.,Trumped UpCards: The World's Biggest Deck*
Suburbanites.,Carps & Angsty Manatee - Volume 1
"Subways!
Subways!
Subways!",Cards About Toronto
Succumbing to your colleague's sexual advances,Depravity
Such a big boy.,CAH: Blue Box Expansion
Such a big boy.,CAH: Sixth Expansion
Such a nasty group of people.,Bad Hombres Against Fake News Pack 1
such an excellent listener!,Dick
such bugs and goblins in my life,Bards Dispense Profanity
Suck pudding out of everyone's orifices.,Potheads Against Sanity
Suck the blood out used bandages.,Potheads Against Sanity
Sucker-punching an unruly chihuahua.,Trumped UpCards: The World's Biggest Deck*
Sucking,Dirty Nasty Filthy
Sucking a dick so small you have to fake choke and gag just to be nice.,The Worst Card Game: 2016 National Edition
Sucking a flaccid penis for 20 minutes.,CAH: College Pack
Sucking all the milk out of a yak.,CAH: Blue Box Expansion
Sucking all the milk out of a yak.,CAH: Sixth Expansion
Sucking all the oil out of the planet and fucking off to Mars.,CAH: Human Pack
Sucking at something,Rotten Apples: The Tasteless Adult Party Game
Sucking dick for money.,Cakes Athirst Hilarity Volume 1
Sucking down thousands of pounds of krill every day.,Food Pack
Sucking down thousands of pounds of krill every day.,PAX Prime 2015 Food Pack B (Coconut)
Sucking each other’s penises for hours on end.,CAH: Green Box Expansion
"Sucking her ass so hard, her face caves in.","Guards Against Insanity, Edition 5"
Sucking her juices off your best mate's cock.,"Guards Against Insanity, Edition 5"
sucking his own paws,Dick
Sucking it in for a holiday photo,Depravity
Sucking menstrual fluid out with a straw.,Cocks Abreast Hostility: Cock Pack One: Just The Tip
Sucking my thumb.,"Bad Campaign, The Presidential Party Game!"
Sucking on a dirty thumb,KinderPerfect: A Timeout For Parents (Kickstarter Set)
Sucking on an elf's surprisingly large candy cane.,"Crows Adopt Vulgarity, Vol. 3"
Sucking on an exhaust pipe.,"Bad Campaign, The Presidential Party Game!"
Sucking on titties like you're trying to get the cancer out.,The Worst Card Game: 2016 National Edition
Sucking Santa's cock.,Carps & Angsty Manatee - Volume 2
Sucking snot out of the baby's nose.,Fun in the Oven
Sucking some dicks to not get drafted.,CAH Base Set
Sucking the caviar straight out of a fish's pussy.,Absurd Box Expansion
Sucking the president's dick.,90s Nostalgia Pack
Sucking up to donors., 2016 Election Game 
Sucking Wall Street's dick for 30 years.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too"
sucking your own dick,Evil Apples
Sudden and unwanted slam poetry.,CAH: Green Box Expansion
Sudden penis loss.,CAH: Blue Box Expansion
Sudden penis loss.,CAH: Sixth Expansion
Sudden Poop Explosion Disease.,CAH Base Set
Sudden Poop Explosion Disease.,CAH: First Expansion
Sudden Poop Explosion Disease.,CAH: Red Box Expansion
Suddenly feeling really sad for 40 years.,Absurd Box Expansion
Suddenly remembering that the Holocaust happened.,Jew Pack/Chosen People Pack
Sudoku,Cards Against Profanity
Sudoku® puzzles with no solutions.,WTF Did You Say?!?
Sue Nicholson from Sensing Murder failing to find another body,Kiwis Versus Morality
Suffocating from the incense.,The Catholic Card Game: Base Deck
Sugar and spice and everything nice.,Crabs Adjust Humidity: Volume 5
Sugar and spice and everything nice.,Crazy & Horrible Rabbit - Vol. 1
Sugar Bear™,Kids Against Maturity
Sugar Daddies,Personally Incorrect
Sugar madness.,CAH: Fourth Expansion
"Sugar, sugar, sugar!",Not Parent Approved
Sugar. Lots and lots of sugar.,Cards Against Profanity
suicidal tendencies,Skewered And Roasted
Suicidal thoughts.,CAH Base Set
Suicidal thoughts.,CAH: First Expansion
Suicidal thoughts.,CAH: Red Box Expansion
Suicide Awareness Training.,Charlie Foxtrot
Suicide bombers,Conspiracy Theory
Suicide bombers.,CAH: Red Box Expansion
Suicide Bombings,Personally Incorrect
Suicide photobombers.,"Crows Adopt Vulgarity, Vol. 4"
Suing Hillary Clinton for being a woman.,Humanity Hates Trump: Base Set
Suing the Constitution.,Trumped UpCards: The World's Biggest Deck*
Suitcase nukes,Conspiracy Theory
Sultry Nkosazana Dlamini-Zuma.,Hilarious!
Summer school,Kids Create Absurdity
Summer School II: Still Can’t Read.,The Worst Card Game: 2016 National Edition
Summoning Harold Holt from the sea in a time of great need.,CAH Base Set
Sumo wrestler thongs.,Not Parent Approved Expansion Pack #1
Sun Gods 'til your dick skinners fall off.,Disgruntled Decks: Marine Corps/Jarhead Edition
Sunbathing your belly to prevent jaundice in the baby.,Fun in the Oven
Sunday,Kiwis Against Morality
Sunday,Kiwis Versus Morality
Sunday hangovers,KinderPerfect (Commercial Set)
Sunday hangovers,KinderPerfect: A Timeout For Parents (Kickstarter Set)
Sunday School.,The Catholic Card Game: Base Deck
Sunny D! Alright!,90s Nostalgia Pack
Sunshine and rainbows.,CAH Base Set
"Sunshine, pretty flowers and rainbows.",Hilarious!
Super Blunts,Personally Incorrect
Super Mario™ fart,Kids Against Maturity
Super self-confidence,Cards Against/For South Africa
Super self-confidence.,Hilarious!
Super snoozy school assemblies.,Not Parent Approved
"Super tight, camel-toe yoga pants.",Hilarious!
Super yoga.,Reject Pack
super-dainty Kate,Bards Dispense Profanity
Super-rich pansexual cowboys.,Carps & Angsty Manatee - Texas Edition
Super-spicy salsa,The Game Without Decency
Superhero movies.,The Catholic Card Game: Base Deck
Superheroes,Conspiracy Theory
Superman's™ skid marks,Kids Against Maturity
Supervillians,Conspiracy Theory
Suplexing a jabroni in the PAX Rumble.,PAX Prime 2014 Custom Printed Cards
Supporting every Catholic on Patreon.,The Catholic Card Game: Five Deck Expansion Pack
Suppositories,Rotten Apples: The Tasteless Adult Party Game
Suppressing the gag reflex.,"Guards Against Insanity, Edition 2"
Suppressive fire.,Disgruntled Decks: Marine Corps/Jarhead Edition
Supreme Court justices who used to be into autoerotic asphyxiation.,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep
Surplus Russian vodka.,Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack
Surprise Anal.,"Humanity Hates the Holidays ""Love"" Edition"
Surprise Cumshot,Personally Incorrect
Surprise Funeral.,Voter's Choice: The Fourth Expansion
Surprise lactation,KinderPerfect (Commercial Set)
Surprise Sex,Personally Incorrect
Surprise sex!,CAH Base Set
Surprise sex!,Cards Against/For South Africa
Surprise sex!,Hilarious!
Surrogate mom,KinderPerfect: A Timeout For Parents (Kickstarter Set)
Surrounding myself with idiots to feel more mature.,Cads Against Adulting
Surviving a sniper round to the dome.,Disgruntled Decks: Marine Corps/Jarhead Edition
Survivor's guilt.,CAH : Second Expansion
Survivor's guilt.,CAH: Red Box Expansion
"Susan, that bitch.",Crabs Adjust Humidity: Volume 3
Sushi,Conspiracy Theory
Sushi in a landlocked country,JadedAid: A Card Game to Save Humanitarians
Sushi.,Fun in the Oven
Suspected journalists.,Trumped UpCards: The World's Biggest Deck*
Suspecting a severe case of bacterial vaginosis as you lick the bean,Depravity
Suspecting that you were adopted,Depravity
Suspecting your neighbours are swingers,Depravity
Suspicious white powder.,Humanity Hates Trump: Base Set
Suspicious white powder.,CAH: 2000s Nostalgia Pack
Sustainability,JadedAid: A Card Game to Save Humanitarians
Suzanne Paul vajazzling with luminous spheres,Kiwis Versus Morality
Swabbies and shipmates.,Disgruntled Decks: Navy Edition
Swaddle,Babies vs. Parents
Swaddling.,Fun in the Oven
Swag,Kids Create Absurdity
Swag.,CAH Base Set
Swallowing,Dirty Nasty Filthy
Swallowing a cue ball.,Crabs Adjust Humidity: Volume 2
Swallowing a grown man whole.,Cats Abiding Horribly: Episode I - The Dirty Goblin
Swallowing a heavy load,Depravity
swallowing a tapeworm,Evil Apples
Swallowing.,Cards and Punishment Vol. Two
Swallowing.,"Guards Against Insanity, Edition 2"
Swants.,Knitters Against Swatches First Edition
Swapping bodies with mom for a day.,2013 Holiday Pack
SWAT teams,Conspiracy Theory
Swearing in sign language,Rotten Apples: The Tasteless Adult Party Game
"swearing occasionally, by way of assuaging the general friction",Dick
Sweat soaked armpit hair.,Cakes Athirst Hilarity Volume 3
Sweater puppies.,Crabs Adjust Humidity: Volume 6
Sweatin' to the Oldies.,"Bad Campaign, The Presidential Party Game!"
Sweating it out,Rotten Apples: The Tasteless Adult Party Game
Sweating it out on the streets of a runaway American Dream.,Reject Pack 2
Sweating out of everywhere. All the time. Forever.,Cows Against Hamburgers - Patty Pack #1
Sweating out of everywhere. All the time. Forever.,Cows Grilling Hamburgers - Patty Pack #1
Sweatshop workers.,Cakes Athirst Hilarity Volume 2
Sweatshops.,"Bad Campaign, The Presidential Party Game!"
Sweaty Elvis impersonators.,"Bad Campaign, The Presidential Party Game!"
Sweaty feet,Kids Create Absurdity
sweaty gym selfies,Skewered And Roasted
Sweaty hands at the Sign of Peace.,The Catholic Card Game: Base Deck
Sweaty shin guards.,Not Parent Approved
Sweaty socks.,Not Parent Approved
Swedish meatballs.,"Bad Campaign, The Presidential Party Game!"
Sweeping sand in Iraq.,Disgruntled Decks: Marine Corps/Jarhead Edition
Sweeping the flight deck during a torrential downpour.,Disgruntled Decks: Navy Edition
Sweet Apple Pie,Personally Incorrect
Sweet cherry pie.,"Bad Campaign, The Presidential Party Game!"
Sweet dreams.,Not Parent Approved
Sweet mixtapes.,"Bad Campaign, The Presidential Party Game!"
Sweet nectar of the Gods,Rotten Apples: The Tasteless Adult Party Game
Sweet pickles.,Cows Against Hamburgers - Patty Pack #1
Sweet pickles.,Cows Grilling Hamburgers - Patty Pack #1
Sweet revenge.,Not Parent Approved Expansion Pack #2
Sweet Seduction.,Hilarious!
"sweet, delicious placenta",Evil Apples
"sweet, sweet incest",Skewered And Roasted
"Sweet, sweet revenge.","Guards Against Insanity, Edition 2"
"Sweet, sweet revenge.",Hilarious!
"Sweet, sweet vengeance.",CAH Base Set
"Sweet, sweet vengeance.",Cards Against/For South Africa
"swift glances of warm, wild bosoms",Dick
Swiftly achieving orgasm.,CAH : Second Expansion
Swiftly achieving orgasm.,CAH: Red Box Expansion
Swim naked in a bathtub full of tapioca pudding.,Potheads Against Sanity
Swim the crawl stroke on a waterbed.,Potheads Against Sanity
Swimming across the Rio Grande.,Carps & Angsty Manatee - Texas Edition
Swimming in utero.,Fun in the Oven
Swimming with dolphins,Kids Create Absurdity
Swine flu,Conspiracy Theory
Swing racists.,Trumped UpCards: The World's Biggest Deck*
Swingers,Personally Incorrect
Swinging.,Cads About Matrimony
Swinging.,Cads About Matrimony Poly Pack
Swiping left so hard you crack the screen.,Carbs of the Huge Manatee - Online Dating Expansion 1
Swiping right on your best friend's brother.,WTF Did You Say?!?
Swiping right. With my dick.,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep
Swishing the wine around and sniffing it like a big fancy man.,Food Pack
Swishing the wine around and sniffing it like a big fancy man.,PAX Prime 2015 Food Pack A (Mango)
Switching bodies with mom for a day.,Cats Abiding Horribly: Episode I - The Dirty Goblin
Switching out Valentines for dog shit.,"Humanity Hates the Holidays ""Love"" Edition"
Switching to Geico®.,CAH Base Set
Switching to Proudly South African.,Cards Against/For South Africa
Switching to Proudly South African.,Hilarious!
Switching to the metric system., 2016 Election Game 
Switching your diabetic friend's insulin with heroin.,"Crows Adopt Vulgarity, Vol. 1"
Swollen ankles.,Fun in the Oven
swollen breasts,Evil Apples
Swooping.,CAH Base Set
Sword fights gone wrong.,Not Parent Approved
Sword swallowing.,Cats Abiding Horribly: Episode III - The SJWs Strike Back
Swordplay.,Absurd Box Expansion
Syfy presents…,Carbs of the Huge Manatee: General Expansion 2
Sympathy,Cards Against Profanity
Synergistic management solutions.,CAH Base Set
Synthetic cannabis,Kiwis Versus Morality
"Syphilis Gene, the unclean Marine.",Disgruntled Decks: Marine Corps/Jarhead Edition
Syphilitic insanity.,CAH: First Expansion
Syphilitic insanity.,CAH: Red Box Expansion
"Syria's tired, poor, carefully profiled masses.",Trumped UpCards: The World's Biggest Deck*
Syrupy sex with a maple tree.,CAH Base Set
Syrupy sex with a maple tree.,CAH: Canadian Conversion Kit
Systemic racism.,Carps & Angsty Manatee - Texas Edition
Systems and policies designed to preserve centuries-old power structures.,CAH: Green Box Expansion
T-shirts!,JadedAid: A Card Game to Save Humanitarians
T.I.A.,JadedAid: A Card Game to Save Humanitarians
Tabasco®: a necessary evil.,Disgruntled Decks: Navy Edition
Tables.,CAH: Green Box Expansion
Tabloid papers,Conspiracy Theory
Taco bell poops.,Cakes Athirst Hilarity Volume 1
"Taco Bell®, the official foor of burning anuses everywhere.",WTF Did You Say?!?
Taco crumbs.,Cads Against Adulting
Taco Tuesday,Kids Against Maturity
"Taco Tuesday, bitches!",Evil Apples
Taco Tuesdays,Skewered And Roasted
Tacos.,Crabs Adjust Humidity: Volume 2
Tactical embarrassment.,Disgruntled Decks: Marine Corps/Jarhead Edition
Tagging my ex in memes against their will.,Cads Against Adulting
Tainting the communion wafers with LSD.,"Crows Adopt Vulgarity, Vol. 2"
take it to the rim,That's What She Said Game
Take-backsies.,CAH Base Set
Taking 2d6 emotional damage.,Geek Pack
Taking 2d6 emotional damage.,PAX East 2014
Taking 3 hours to go on a 15 minute errand,KinderPerfect: More Expansion Pack
Taking 800mg of Motrin® followed by 800mg of Motrin®.,Disgruntled Decks: Army Edition
Taking a 9+ month menstruation vacation.,Fun in the Oven
Taking a bath with my dog.,Cads Against Adulting
Taking a blurry photo of my penis on my Motorola Razr.,CAH: 2000s Nostalgia Pack
Taking a bullet for your country.,Disgruntled Decks: Army Edition
Taking a conference call with an infant on your teat,Cads About Maternity - A game for bad mommies
Taking a date to the PX food court in a sad attempt to get laid.,Charlie Foxtrot
Taking A Date To The Soup Kitchen,Personally Incorrect - Expansion [Red Box]
"Taking a deep breath, going for a walk, and never coming back.",Cads Against Adulting
Taking a dump in a ball pit.,"Crows Adopt Vulgarity, Vol. 3"
Taking a dump.,Absurd Box Expansion
Taking a friend's kid on a walk and coming back with a dog instead.,The Worst Card Game: 2016 National Edition
Taking a headshot while chewing bubblegum.,Disgruntled Decks: Marine Corps/Jarhead Edition
Taking a hint,Rotten Apples: The Tasteless Adult Party Game
Taking a joyride … through a playground.,"Crows Adopt Vulgarity, Vol. 1"
Taking a little “me time.”,Cads About Matrimony Poly Pack
Taking a little “me time.”,Cads About Matrimony: Expansion 1
Taking a man's eyes and balls out and putting his eyes where his balls go and then his balls in the eye holes.,CAH : Second Expansion
Taking a man's eyes and balls out and putting his eyes where his balls go and then his balls in the eye holes.,CAH Base Set
Taking a man's eyes and balls out and putting his eyes where his balls go and then his balls in the eye holes.,CAH: Red Box Expansion
Taking a minute to really unpack what Shakespeare is getting at in this scene.,Cards Against Humanity Saves America Pack
Taking a naked ride on the bonnet through the car wash,Kiwis Versus Morality
Taking a nice drive …. through a playground.,"Crows Adopt Vulgarity, Vol. 2"
Taking a plate of pigs in blankets to an Eid party.,Pigs Against Profanity: Volume 3
Taking a rip from my Juul to relate to the youth.,The Catholic Card Game: Five Deck Expansion Pack
"Taking a selfie with Saddam Hussein's lifeless, hanging body.",Cocks Abreast Hostility - Cock Pack Two: Fowls Deep
Taking a selfie with the Pope.,The Catholic Card Game: Five Deck Expansion Pack
Taking a sheep-wife.,CAH Base Set
Taking a shit on my neighbor's doorstep.,WTF Did You Say?!?
Taking a shit while running at full speed.,World Wide Web Pack
Taking a shit while you are being observed during a drug test.,Charlie Foxtrot
Taking a wait-and-see attitude on Honest Abe.,Trumped UpCards: The World's Biggest Deck*
Taking a year off to study Japanese puppet theatre.,Theatre Pack
Taking an extended paternity leave.,Fun in the Oven
Taking an unrequested vow of celibacy.,Cads Against Adulting
Taking commands from the Situation Room.,Charlie Foxtrot
Taking dick pics at Tiny Town so it looks HUGE.,The Worst Card Game: Colorado Edition
Taking down Santa with a surface-to-air missile.,2012 Holiday Pack
Taking full advantage of Fat Tuesday.,The Catholic Card Game: Base Deck
Taking gender reassignment homrones to win a meritorious board.,Disgruntled Decks: Marine Corps/Jarhead Edition
Taking it like a real man.,Carps & Angsty Manatee - Texas Edition
Taking it the wrong way,Rotten Apples: The Tasteless Adult Party Game
Taking Jack Layton's name in vain,Cards About Toronto
taking Liam Neeson's daughter and demanding a large ransom,Evil Apples
Taking liberties in the liturgy.,The Catholic Card Game: Generations Expansion Pack
Taking more dick in your ass than Michael Jackson`s chimp Bubbles,Pigs Against Profanity: Volume 2
Taking off my glasses and becoming beautiful.,Reject Pack 3
Taking off your shirt.,CAH Base Set
Taking off your shirt.,Cards Against/For South Africa
Taking off your shirt.,Hilarious!
Taking one for the team.,Crabs Adjust Humidity: Volume 4
"Taking one look at your new baby, then shoving it back in.","Crows Adopt Vulgarity, Vol. 2"
Taking our jobs.,Cards and Punishment Vol. One
Taking out an insurance policy on the lieutenant.,Disgruntled Decks: Air Force Edition
Taking out payday loans to pay off other payday loans,Cards About Toronto
Taking pride in their acceptance by the cool kids,KinderPerfect: Tween Expansion Pack
Taking pride in your child's grammatically correct swearing,KinderPerfect (Commercial Set)
Taking random pills to get high.,Hilarious!
Taking so long to poop that your ass falls asleep and starts to tingle.,Cards With No Sexuality
Taking some freaking responsibility for things.,Cads About Matrimony Poly Pack
Taking some freaking responsibility for things.,Cads About Matrimony: Expansion 1
Taking someone to pound town.,Cows Grilling Hamburgers - Patty Pack #1
Taking tests.,Not Parent Approved Expansion Pack #1
Taking the Bible literally.,The Catholic Card Game: Base Deck
Taking the dog for a walk during a military coup.,WTF Did You Say?!?
Taking the form of a falcon.,CAH: Green Box Expansion
Taking the high road when I really want to punch you in the face.,Cads Against Adulting
Taking the kids to Lakeside because you don't love them anymore.,The Worst Card Game: Colorado Edition
Taking the piss,Kiwis Against Morality
Taking the piss,Kiwis Versus Morality
Taking the TTC to Scarborough,Cards About Toronto
Taking things into your own hands,Rotten Apples: The Tasteless Adult Party Game
Taking things too literally.,Cads About Matrimony
Taking things too literally.,Cads About Matrimony Poly Pack
Taking your daughter on a trip to Africa to get rid of that pesky clit.,The Worst Card Game: 2016 National Edition
Taking your mother to prom.,Clones Attack Hilarity #2
Talc-free baby powder.,Fun in the Oven
Tales from the days when Guy Williams was the sexiest man on NZ television,Kiwis Against Morality
Tales from the days when Guy Williams was the sexiest man on NZ television,Kiwis Versus Morality
Talk like a Pirate Day,Cards Against Profanity
Talk radio,Conspiracy Theory
talking about Fight Club,Evil Apples
Talking about food security over caviar and fine wine,JadedAid: A Card Game to Save Humanitarians
Talking about moving to Austin.,Carps & Angsty Manatee - Texas Edition
Talking about someone who is not present.,WTF Did You Say?!?
Talking about who among us is greatest.,The Catholic Card Game: Life Teen Expansion Pack
Talking baby movies.,"Bad Campaign, The Presidential Party Game!"
Talking back to an adult,Kids Create Absurdity
Talking dirty,Rotten Apples: The Tasteless Adult Party Game
Talking Dirty,Dirty Nasty Filthy
Talking dirty in a Spanish accent.,Cads About Matrimony
Talking dirty in a Spanish accent.,Cads About Matrimony Poly Pack
Talking faster than a Thai hooker.,"Crows Adopt Vulgarity, Vol. 4"
Talking like a drunk pirate.,Not Parent Approved Expansion Pack #1
Talking sexy social justice with Maya Angelou until your caged bird sings.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too"
Talking smack about everything I see.,Cads Against Adulting
Talking through a movie.,Cats Abiding Horribly: Episode III - The SJWs Strike Back
Talking to children about sex.,WTF Did You Say?!?
Talking to myself,Kids Create Absurdity
Talking to myself.,Cads Against Adulting
talking with deceiving father of a deceitful son,Bards Dispense Profanity
Talking with your girlfriends about his “limitations.”,Carbs of the Huge Manatee: General Expansion 1
"Talking, laughing, loving, breathing, fighting, fucking, crying, drinking, riding, winning, losing, cheating, kissing, thinking, dreaming.",Pride Pack
Tall Poppy Syndrome,Kiwis Against Morality
Tall Poppy Syndrome,Kiwis Versus Morality
"Tall, dark, and hung.",Cads Against Adulting
Tamati Coffey knocking the Maori Party out of parliamant,Kiwis Versus Morality
Tamati Coffey knocking the Maori Party out of parliament,Kiwis Against Morality
Tamper-proof ID cards.,Trumped UpCards: The World's Biggest Deck*
Tampon taxes.,Humanity Hates Trump: Base Set
Tampons for squirrels.,The Worst Card Game: 2016 National Edition
Tampons in every hole.,Crabs Adjust Humidity: Volume 4
Tampons.,Babies vs. Parents
Tana Umaga slapping someone with a handbag,Kiwis Against Morality
Tana Umaga slapping someone with a handbag,Kiwis Versus Morality
Tangled Slinkys.,CAH Base Set
Tangled Slinkys.,Hilarious!
Tangling my headphones before they're even out of the box.,Cads Against Adulting
Tango shoes.,Carbs of the Huge Manatee: Dance Expansion 1
tanning a white man into a purplish yellow one,Dick
Tanning beds that double as homeless shelters.,Trumped UpCards: The World's Biggest Deck*
Tantric yoga.,"Guards Against Insanity, Edition 3"
